DATE_TIME,current_contract,next_contract,carry_contract
2023-03-28 23:00:00,20230400,20230700,20230700
2023-06-27 23:00:00,20230700,20231000,20231000
2023-09-27 23:00:00,20231000,20240100,20240100
2023-12-28 23:00:00,20240100,20240400,20240400
2024-02-23 15:30:00,20240400,20240700,20240700
